interface,pri_ip,sec_ip,description
Eth1/1/1,10.6.101.1,10.106.101.1,CCU 1
Eth1/1/2,10.6.101.5,10.106.101.5,CCU 2
Eth1/1/3,10.6.101.9,10.106.101.9,CCU 3
Eth1/1/4,10.6.101.13,10.106.101.13,CCU 4
Eth1/2/1,10.6.102.1,10.106.102.1,CCU 5
Eth1/2/2,10.6.102.5,10.106.102.5,CCU 6
Eth1/2/3,10.6.102.9,10.106.102.9,CCU 7
Eth1/2/4,10.6.102.13,10.106.102.13,CCU 8
Eth1/3/1,10.6.103.1,10.106.103.1,CCU 9
Eth1/3/2,10.6.103.5,10.106.103.5,CCU 10
Eth1/3/3,10.6.103.9,10.106.103.9,CCU 11
Eth1/3/4,10.6.103.13,10.106.103.13,CCU 12
Eth1/4/1,10.6.104.1,10.106.104.1,CCU 13
Eth1/4/2,10.6.104.5,10.106.104.5,CCU 14
Eth1/4/3,10.6.104.9,10.106.104.9,CCU 15
Eth1/4/4,10.6.104.13,10.106.104.13,CCU 16
Eth1/5/1,10.6.105.1,10.106.105.1,UCP-1
Eth1/5/2,10.6.105.5,10.106.105.5,UCP-1
Eth1/6/1,10.6.106.1,10.106.106.1,UCP-2
Eth1/6/2,10.6.106.5,10.106.106.5,UCP-2
Eth1/7/1,10.6.107.1,10.106.107.1,UCP-3
Eth1/7/2,10.6.107.5,10.106.107.5,UCP-3
Eth1/8/1,10.6.108.1,10.106.108.1,UCP-4
Eth1/8/2,10.6.108.5,10.106.108.5,UCP-4
Eth1/9/1,10.6.109.1,10.106.109.1,CXP 25G-1
Eth1/9/2,10.6.109.5,10.106.109.5,CXP 25G-1
Eth1/9/3,10.6.109.9,10.106.109.9,CXP 25G-1
Eth1/9/4,10.6.109.13,10.106.109.13,CXP 25G-1
Eth1/10/1,10.6.110.1,10.106.110.1,CXP 25G-1
Eth1/10/2,10.6.110.5,10.106.110.5,CXP 25G-1
Eth1/10/3,10.6.110.9,10.106.110.9,CXP 25G-1
Eth1/10/4,10.6.110.13,10.106.110.13,CXP 25G-1
Eth1/11/1,10.6.111.1,10.106.111.1,CXP 25G-2
Eth1/11/2,10.6.111.5,10.106.111.5,CXP 25G-2
Eth1/11/3,10.6.111.9,10.106.111.9,CXP 25G-2
Eth1/11/4,10.6.111.13,10.106.111.13,CXP 25G-2
Eth1/12/1,10.6.112.1,10.106.112.1,CXP 25G-2
Eth1/12/2,10.6.112.5,10.106.112.5,CXP 25G-2
Eth1/12/3,10.6.112.9,10.106.112.9,CXP 25G-2
Eth1/12/4,10.6.112.13,10.106.112.13,CXP 25G-2
Eth1/13/1,10.6.113.1,10.106.113.1,CXP 25G-3
Eth1/13/2,10.6.113.5,10.106.113.5,CXP 25G-3
Eth1/13/3,10.6.113.9,10.106.113.9,CXP 25G-3
Eth1/13/4,10.6.113.13,10.106.113.13,CXP 25G-3
Eth1/14/1,10.6.114.1,10.106.114.1,CXP 25G-3
Eth1/14/2,10.6.114.5,10.106.114.5,CXP 25G-3
Eth1/14/3,10.6.114.9,10.106.114.9,CXP 25G-3
Eth1/14/4,10.6.114.13,10.106.114.13,CXP 25G-3
Eth1/15/1,10.6.115.1,10.106.115.1,LV 5600
Eth1/15/2,10.6.115.5,10.106.115.5,
Eth1/15/3,10.6.115.9,10.106.115.9,
Eth1/15/4,10.6.115.13,10.106.115.13,
Eth1/16/1,10.6.116.1,10.106.116.1,VideoIPath 1
Eth1/16/2,10.6.116.5,10.106.116.5,VideoIPath 2
Eth1/16/3,10.6.116.9,10.106.116.9,
Eth1/16/4,10.6.116.13,10.106.116.13,
Eth1/17,,,
Eth1/18,,,
Eth1/19,,,
Eth1/20,,,
Eth1/21,,,
Eth1/22,,,
Eth1/23,,,
Eth1/24,,,
Eth1/25,10.6.100.114,10.106.100.114,eMerge Port 29
Eth1/26,10.6.100.118,10.106.100.118,eMerge Port 30
Eth1/27,,,
Eth1/28,10.6.47.2,10.106.47.2,Spine Port 47
Eth1/29,10.6.48.2,10.106.48.2,Spine Port 48
Eth1/30,10.6.49.2,10.106.49.2,Spine Port 49
Eth1/31,10.6.50.2,10.106.50.2,Spine Port 50
Eth1/32,10.6.51.2,10.106.51.2,Spine Port 51
Eth1/33,10.6.52.2,10.106.52.2,Spine Port 52
Eth1/34,10.6.53.2,10.106.53.2,Spine Port 53
Eth1/35,10.6.54.2,10.106.54.2,Spine Port 54
Eth1/36,10.6.55.2,10.106.55.2,Spine Port 55